,juliandate,A0620Cal,merr1
82,2455203.75621,16.5165,0.008
83,2455207.70082,16.4185,0.007
84,2455208.72289,16.478499999999997,0.008
85,2455209.69886,16.43,0.008
86,2455210.76988,16.393,0.008
87,2455211.74796,16.386499999999998,0.007
88,2455212.72390,16.332499999999996,0.007
89,2455213.70284,16.370000000000005,0.008
90,2455214.72002,16.5175,0.008
91,2455215.70207,16.561500000000002,0.008
93,2455219.68341,16.4255,0.008
94,2455222.73244,16.2965,0.009
95,2455227.72888,16.1595,0.013
96,2455228.74244,16.200500000000005,0.012
97,2455229.76376,16.4225,0.012
98,2455231.69259,16.4405,0.012
99,2455232.74753,16.292,0.011
100,2455235.65702,16.336999999999996,0.007
101,2455237.67062,16.579,0.009
102,2455243.67494,16.545,0.008
103,2455245.67821,16.4255,0.008
104,2455247.63683,16.33,0.009
105,2455249.58564,16.415,0.008
106,2455253.58359,16.3375,0.01
107,2455255.64149,16.4745,0.012
108,2455256.64527,16.387499999999996,0.011
109,2455260.66091,16.557000000000002,0.01
110,2455262.66074,16.409,0.01
111,2455263.64625,16.372500000000002,0.009
112,2455265.59079,16.4615,0.008
113,2455267.58521,16.4835,0.009
114,2455269.62260,16.4015,0.008
115,2455274.53984,16.528,0.008
116,2455276.61137,16.506,0.009
117,2455278.52607,16.488500000000002,0.012
118,2455278.58602,16.470999999999997,0.013
119,2455279.49334,16.479,0.013
120,2455279.51166,16.555,0.013
121,2455279.51850,16.511000000000003,0.014
122,2455279.52909,16.530499999999996,0.012
123,2455279.53938,16.522,0.012
124,2455279.56958,16.455,0.013
125,2455279.57455,16.451999999999998,0.013
126,2455280.49258,16.496000000000002,0.013
127,2455280.51793,16.419000000000004,0.011
128,2455280.55466,16.369999999999997,0.009
129,2455280.55965,16.435000000000002,0.01
130,2455280.56469,16.408,0.01
131,2455280.58980,16.408,0.012
132,2455280.59693,16.366,0.011
133,2455281.51835,16.4225,0.01
134,2455281.53272,16.344,0.011
135,2455281.53754,16.296,0.01
136,2455281.54236,16.381,0.009
137,2455281.54718,16.3915,0.01
138,2455281.55199,16.4195,0.009
139,2455281.58643,16.500500000000002,0.012
140,2455284.57421,16.475,0.011
141,2455287.56031,16.375499999999995,0.01
142,2455289.51483,16.543999999999997,0.008
143,2455291.52138,16.290999999999997,0.008
144,2455294.52173,16.535500000000006,0.009
145,2455295.51869,16.549,0.011
146,2455296.51681,16.5075,0.009
147,2455297.52257,16.450499999999998,0.008
148,2455299.49580,16.4375,0.009
149,2455301.52162,16.386499999999998,0.008
150,2455305.50558,16.338,0.009
151,2455306.48273,16.3975,0.011
152,2455308.48138,16.253,0.009
153,2455310.48733,16.293,0.009
154,2455313.50328,16.308500000000002,0.012
155,2455317.47594,16.430999999999997,0.01
156,2455320.47674,15.998,0.007
157,2455323.47893,16.317499999999995,0.011
158,2455325.47737,16.3245,0.01
159,2455327.46890,16.445,0.009
160,2455434.88803,16.3305,0.012
161,2455436.89260,16.0315,0.007
162,2455439.87409,16.355000000000004,0.01
163,2455446.87981,16.2855,0.008
164,2455448.88963,16.228499999999997,0.007
165,2455454.87473,16.2935,0.008
166,2455455.85887,16.302500000000002,0.009
167,2455456.88783,16.328000000000003,0.007
168,2455458.89293,16.207,0.007
169,2455459.86054,16.269,0.011
170,2455462.88144,16.306999999999995,0.009
171,2455467.82168,16.4255,0.009
172,2455467.82650,16.423000000000002,0.009
173,2455467.83131,16.4865,0.01
174,2455467.83612,16.491,0.009
175,2455467.84094,16.4595,0.009
