date,juliandate,a0620Cal,merr1
90309,2454900.62205,18.15225,0.036
90312,2454903.61360,18.042749999999998,0.02
90315,2454906.59633,18.168,0.016
90318,2454909.57350,17.846999999999998,0.009
90321,2454912.57762,17.89575,0.009
90324,2454915.57637,17.886499999999998,0.01
90327,2454918.58984,17.9245,0.01
90330,2454921.57037,17.73475,0.009
90402,2454924.53908,17.9965,0.015
90405,2454927.52840,17.591749999999998,0.015
90407,2454929.53338,18.01075,0.023
90409,2454931.54020,17.87925,0.025
90412,2454934.53957,17.99825,0.018
90413,2454935.52539,17.991249999999997,0.01
91001,2455106.86240,18.31525,0.019
91004,2455109.84481,17.99975,0.02
91007,2455112.82413,18.145500000000002,0.038
91011,2455116.81749,18.082250000000002,0.013
91011,2455116.85217,18.0165,0.013
91013,2455118.82894,18.2195,0.012
91015,2455120.79841,18.17175,0.012
91017,2455122.77629,17.944,0.01
91020,2455125.80550,18.01075,0.009
91020,2455125.82421,17.91025,0.009
91021,2455126.75916,18.031,0.01
91027,2455132.83098,18.05275,0.011
91029,2455134.76666,18.205000000000002,0.05
91105,2455141.73697,18.10925,0.038
91107,2455143.72995,18.0235,0.017
91110,2455146.74280,18.0935,0.018
91112,2455148.80704,18.07175,0.01
91114,2455150.73185,17.997500000000002,0.011
91116,2455152.74577,18.266250000000003,0.012
91117,2455153.73879,18.121,0.03
91118,2455154.76798,18.045250000000003,0.009
91121,2455157.75426,18.182499999999997,0.011
91123,2455159.72841,18.0505,0.008
91124,2455160.78394,18.174,0.017
91127,2455163.77194,18.0935,0.013
91128,2455164.80892,17.996,0.01
91130,2455166.66810,18.026249999999997,0.027
91202,2455168.78579,18.162,0.038
91204,2455170.75980,18.019499999999997,0.025
91207,2455173.68831,18.060000000000002,0.011
91209,2455175.73762,18.02675,0.01
91211,2455177.74934,18.032,0.01
91212,2455178.71844,18.191249999999997,0.015
91214,2455180.65578,17.990250000000003,0.01
91217,2455183.78167,18.14475,0.01
91218,2455184.74146,18.12375,0.011
91219,2455185.69822,18.21675,0.011
91220,2455186.71201,18.05075,0.01
91221,2455187.71253,18.01575,0.009
100102,2455199.70233,18.084,0.023
100103,2455200.68873,18.05825,0.016
100104,2455201.72861,18.00325,0.013
100105,2455202.71899,17.9835,0.011
100106,2455203.75139,18.051,0.012
100110,2455207.69599,18.01475,0.009
100111,2455208.71807,18.004250000000003,0.009
100112,2455209.69404,18.129,0.01
100113,2455210.76505,17.996,0.009
100114,2455211.74314,17.972499999999997,0.01
100115,2455212.71907,17.937,0.009
100116,2455213.69801,17.92125,0.01
100117,2455214.71519,17.999750000000002,0.01
100118,2455215.69724,18.1245,0.011
100119,2455216.69348,18.20075,0.012
100121,2455218.77803,18.104750000000003,0.013
100122,2455219.67859,18.007250000000003,0.011
100125,2455222.72762,17.9735,0.014
100128,2455225.73772,17.886249999999997,0.044
100129,2455226.68957,17.822000000000003,0.051
100130,2455227.72405,17.874000000000002,0.036
100131,2455228.73760,17.927,0.029
100201,2455229.75893,18.063499999999998,0.036
100203,2455231.68776,17.91425,0.014
100204,2455232.74271,17.915,0.015
100207,2455235.65220,17.865000000000002,0.008
100209,2455237.66580,18.097499999999997,0.009
100215,2455243.67011,18.155250000000002,0.011
100217,2455245.67338,17.961,0.011
100219,2455247.63201,17.884999999999998,0.01
100221,2455249.58081,17.926499999999997,0.012
100223,2455251.56268,18.12075,0.028
100225,2455253.57877,17.938000000000002,0.022
100227,2455255.63666,17.999249999999996,0.028
100228,2455256.64044,17.83775,0.023
100301,2455257.62461,17.93375,0.024
100304,2455260.65607,18.20425,0.024
100306,2455262.65591,17.95075,0.013
100307,2455263.64141,17.96375,0.012
100309,2455265.58597,18.0145,0.01
100311,2455267.58038,18.067,0.01
100313,2455269.61775,17.905499999999996,0.009
100318,2455274.53499,18.19425,0.011
100320,2455276.60653,18.12175,0.012
100322,2455278.58118,18.06275,0.019
100323,2455279.48849,17.98375,0.023
100324,2455280.48774,18.06975,0.025
100325,2455281.51351,17.976,0.018
100328,2455284.56937,18.000500000000002,0.026
100331,2455287.55548,17.950499999999998,0.024
100402,2455289.50999,18.07575,0.011
100404,2455291.51654,17.85125,0.01
100407,2455294.51690,18.150750000000002,0.011
100408,2455295.51384,18.22175,0.014
100409,2455296.51197,18.06825,0.012
100410,2455297.51773,18.0295,0.012
100411,2455298.52607,17.891750000000002,0.017
100412,2455299.49095,17.933749999999996,0.01
100414,2455301.51677,17.905,0.011
100419,2455306.47790,17.91675,0.016
100421,2455308.47655,17.71525,0.013
100423,2455310.48251,17.868000000000002,0.017
100426,2455313.49845,17.76025,0.021
100430,2455317.47111,17.897750000000002,0.012
100503,2455320.47191,17.74225,0.01
100506,2455323.47411,17.80425,0.021
100508,2455325.47254,17.82725,0.011
100510,2455327.46407,18.049999999999997,0.015
100827,2455436.88777,17.87475,0.016
100830,2455439.86925,17.788,0.016
100906,2455446.87496,17.989250000000002,0.011
100907,2455447.91266,17.7695,0.015
100908,2455448.88480,17.93475,0.01
100914,2455454.86989,17.67625,0.008
100915,2455455.85403,17.871,0.012
100916,2455456.88299,17.814999999999998,0.009
100918,2455458.88809,17.73575,0.008
100919,2455459.85570,17.9375,0.017
100922,2455462.87660,17.83675,0.018
100928,2455468.84661,17.847250000000003,0.015
100930,2455470.85717,17.86525,0.016
101002,2455472.81809,17.9685,0.015
101005,2455475.82047,17.88175,0.01
101007,2455477.83054,17.75225,0.008
101009,2455479.79199,17.909000000000002,0.01
101013,2455483.81910,17.668,0.008
101015,2455485.79697,17.81475,0.009
101017,2455487.82389,17.81025,0.009
101019,2455489.79225,17.906,0.016
101020,2455490.79639,17.933,0.027
101021,2455491.79306,17.6385,0.018
101022,2455492.78624,17.62675,0.018
101023,2455493.80254,17.843999999999998,0.02
101024,2455494.79008,18.02125,0.023
101025,2455495.81994,17.73975,0.016
101026,2455496.84244,17.576500000000003,0.017
101029,2455499.80295,18.094749999999998,0.016
101031,2455501.81512,17.801000000000002,0.009
101101,2455502.80347,17.87925,0.009
101102,2455503.69940,17.97375,0.011
101102,2455503.73465,17.8875,0.01
101104,2455505.67789,17.913,0.012
101104,2455505.75947,17.8885,0.009
101104,2455505.82576,17.9095,0.009
101105,2455506.73144,18.05375,0.01
101108,2455509.79054,17.92275,0.009
101109,2455510.77795,17.962249999999997,0.009
101109,2455510.80729,17.6965,0.008
101110,2455511.73984,17.846,0.009
101111,2455512.84153,17.861250000000002,0.009
101112,2455513.65402,17.5905,0.011
101112,2455513.83084,17.887749999999997,0.01
101113,2455514.74145,17.766,0.008
101113,2455514.85420,17.950499999999998,0.011
101114,2455515.77774,18.023500000000002,0.011
101114,2455515.79207,17.999250000000004,0.01
101115,2455516.76019,18.011750000000003,0.011
101115,2455516.77020,17.982750000000003,0.01
101116,2455517.72501,17.996,0.016
101116,2455517.84801,17.83525,0.009
101117,2455518.65295,17.848499999999998,0.02
101118,2455519.68677,17.761999999999997,0.018
101118,2455519.83480,17.9645,0.011
101120,2455521.65108,17.674,0.028
101120,2455521.82960,17.69775,0.022
101121,2455522.66110,17.639,0.027
101121,2455522.83205,17.70825,0.028
101122,2455523.74555,17.8285,0.024
101123,2455524.73916,18.04575,0.046
101123,2455524.84112,18.152749999999997,0.047
101124,2455525.74659,18.10025,0.038
101124,2455525.81642,17.984750000000002,0.032
101125,2455526.80455,17.855,0.018
101125,2455526.86660,17.647750000000002,0.046
101126,2455527.81533,17.811249999999998,0.013
101126,2455527.82524,17.838,0.016
101127,2455528.69582,17.856,0.011
101127,2455528.82117,17.82825,0.013
101128,2455529.73672,17.898,0.011
101129,2455530.62040,17.98925,0.012
101130,2455531.61667,17.836499999999997,0.009
