date,juliandate,a0620Cal,merr1
131016,2456582.81430,16.3355,0.013
131017,2456583.80799,16.3295,0.015
131019,2456585.75350,16.334500000000002,0.015
131025,2456591.85038,16.1495,0.011
131026,2456592.83163,16.195999999999998,0.01
131102,2456599.74334,16.248,0.009
131102,2456599.80818,16.38825,0.011
131103,2456600.76811,16.23325,0.01
131103,2456600.83100,16.186,0.009
131104,2456601.81482,16.103,0.009
131105,2456602.76537,16.243,0.011
131105,2456602.80289,16.244500000000002,0.01
131106,2456603.76770,16.21425,0.009
131106,2456603.80946,16.094,0.008
131108,2456605.76830,16.2835,0.009
131108,2456605.80825,16.3515,0.009
131111,2456608.75422,16.25175,0.009
131112,2456609.79332,16.158749999999998,0.009
131113,2456610.71112,16.19175,0.011
131114,2456611.72825,16.12875,0.01
131114,2456611.84050,16.259749999999997,0.012
131115,2456612.82013,16.139999999999997,0.01
131116,2456613.83154,16.2515,0.014
131117,2456614.77493,16.034,0.011
131118,2456615.79357,16.1445,0.014
131120,2456617.76505,16.4895,0.028
131121,2456618.79687,16.0905,0.013
131122,2456619.79118,16.18125,0.01
131124,2456621.79315,16.427500000000002,0.017
131125,2456622.81436,16.3445,0.01
131128,2456625.78807,16.347,0.01
131129,2456626.74501,16.31525,0.011
131129,2456626.84487,16.34925,0.01
131130,2456627.74166,16.209,0.009
131201,2456628.78664,16.222,0.009
131202,2456629.85565,16.2785,0.028
131203,2456630.79736,16.102249999999998,0.016
131205,2456632.65225,16.37625,0.012
131205,2456632.67351,16.12275,0.01
131205,2456632.72362,16.27075,0.01
131205,2456632.74975,16.413999999999998,0.011
131205,2456632.79401,16.335,0.01
131206,2456633.75033,16.50575,0.014
131206,2456633.84752,16.184,0.01
131208,2456635.61413,16.14625,0.011
131208,2456635.62085,16.03975,0.011
131208,2456635.62421,16.16475,0.011
131208,2456635.65696,16.218999999999998,0.01
131208,2456635.66031,16.278250000000003,0.01
131208,2456635.66367,16.28425,0.011
131208,2456635.69309,16.340249999999997,0.011
131208,2456635.69644,16.29275,0.01
131208,2456635.70318,16.2085,0.009
131208,2456635.73268,16.17475,0.009
131208,2456635.73604,16.10925,0.009
131208,2456635.73939,16.0215,0.008
131208,2456635.74275,16.174249999999997,0.009
131208,2456635.77214,16.05875,0.008
131208,2456635.77549,16.142000000000003,0.008
131208,2456635.77549,16.136000000000003,0.009
131208,2456635.78231,16.15375,0.009
131208,2456635.82728,16.30725,0.014
131208,2456635.82728,16.26525,0.011
131208,2456635.83409,16.271,0.01
131208,2456635.83743,16.326999999999998,0.01
131209,2456636.61683,16.3905,0.012
131209,2456636.66550,16.4585,0.012
131209,2456636.75747,16.168,0.009
