date,juliandate,a0620Cal,merr1
90203,2454866.64719,18.78575,0.018
90203,2454866.65197,18.875749999999996,0.018
90203,2454866.66176,18.947,0.017
90203,2454866.66654,18.95175,0.017
90203,2454866.67578,18.97675,0.018
90203,2454866.68296,18.96725,0.015
90203,2454866.69272,19.118000000000002,0.014
90203,2454866.71046,19.06525,0.013
90204,2454867.60951,18.82325,0.03
90204,2454867.63426,18.837249999999997,0.036
90204,2454867.68866,19.1615,0.035
90207,2454870.57619,18.9805,0.051
90207,2454870.60715,18.87725,0.04
90207,2454870.62016,18.88225,0.037
90207,2454870.63476,19.04075,0.049
90207,2454870.68443,18.865750000000002,0.05
90211,2454874.53609,19.082500000000003,0.017
90211,2454874.55773,18.997,0.026
90211,2454874.59457,19.087249999999997,0.028
90211,2454874.60646,19.003,0.032
90211,2454874.62905,19.1815,0.042
90211,2454874.63815,19.09925,0.036
90211,2454874.65512,19.105,0.034
90211,2454874.67130,18.862750000000002,0.031
90211,2454874.68070,18.6905,0.029
90215,2454878.60043,19.045,0.013
90215,2454878.61574,19.143250000000002,0.015
90215,2454878.62511,19.072499999999998,0.014
90215,2454878.63503,19.20925,0.018
90215,2454878.63982,19.19175,0.019
90215,2454878.64589,19.1375,0.018
90215,2454878.65462,19.20225,0.02
90219,2454882.65129,19.102249999999998,0.017
90222,2454885.60615,19.27675,0.016
90225,2454888.57942,19.107999999999997,0.014
90228,2454891.64992,19.17425,0.016
90303,2454894.60460,19.201249999999998,0.026
90306,2454897.57857,19.06975,0.036
90309,2454900.61724,19.323749999999997,0.079
90312,2454903.60880,19.00225,0.043
90315,2454906.59151,19.27825,0.031
90318,2454909.56870,18.8495,0.012
90321,2454912.57282,18.922749999999997,0.013
90324,2454915.57158,19.027,0.016
90327,2454918.58504,18.82675,0.013
90330,2454921.56557,18.9375,0.014
90402,2454924.53429,19.139499999999998,0.036
90405,2454927.52360,18.696,0.027
90407,2454929.52858,18.945,0.045
90409,2454931.53540,18.897,0.052
90412,2454934.53477,18.9015,0.026
90413,2454935.52059,19.081500000000002,0.015
91001,2455106.85762,19.4815,0.041
91004,2455109.84003,19.125749999999996,0.054
91007,2455112.81935,19.23525,0.044
91011,2455116.81271,19.21275,0.026
91011,2455116.84739,18.950499999999998,0.017
91013,2455118.82417,19.366999999999997,0.018
91015,2455120.79364,19.3175,0.017
91017,2455122.77152,18.976499999999998,0.015
91020,2455125.80072,19.1715,0.014
91020,2455125.81944,18.9935,0.013
91021,2455126.75439,19.0835,0.015
91023,2455128.77305,18.992749999999997,0.027
91027,2455132.82621,19.10475,0.013
91103,2455139.80058,19.402250000000002,0.067
91105,2455141.73220,19.20575,0.08
91107,2455143.72518,19.185249999999996,0.037
91110,2455146.73803,19.26575,0.019
91112,2455148.80227,19.1875,0.016
91114,2455150.72707,19.162,0.015
91116,2455152.74099,19.463499999999996,0.018
91117,2455153.73400,19.3005,0.028
91118,2455154.76320,19.21825,0.014
91121,2455157.74949,19.3695,0.018
91123,2455159.72362,19.217,0.013
91124,2455160.77914,19.402,0.054
91125,2455161.76946,19.393,0.019
91127,2455163.76715,19.28225,0.019
